kode_mk,nama_mk,minggu,materi,pustaka_tersedia,bab
TSI1108,Bahasa Indonesia,5/16,"Logika berpikir induktif-deduktif, fakta vs opini, koherensi argumen","P1 = Kementerian Pendidikan dan Kebudayaan. (2016). Pedoman Umum  | P2 = Dalman, H. (2019). Keterampilan Menulis (Edisi Revisi). Raja | P3 = Keraf, G. (2010). Argumentasi dan Narasi. Gramedia Pustaka U | P4 = Chaer, A. (2015). Tata Bahasa Praktis Bahasa Indonesia. Rine | P5 = Widjono, H. S. (2018). Bahasa Indonesia: Mata Kuliah Pengemb | P6 = Buku Kurikulum Prodi S1 Sistem Informasi ITEKES Bintang Pers",
TSI1108,Bahasa Indonesia,6/16,"Struktur makalah: judul, abstrak, pendahuluan, pembahasan, kesimpulan, daftar pustaka","P1 = Kementerian Pendidikan dan Kebudayaan. (2016). Pedoman Umum  | P2 = Dalman, H. (2019). Keterampilan Menulis (Edisi Revisi). Raja | P3 = Keraf, G. (2010). Argumentasi dan Narasi. Gramedia Pustaka U | P4 = Chaer, A. (2015). Tata Bahasa Praktis Bahasa Indonesia. Rine | P5 = Widjono, H. S. (2018). Bahasa Indonesia: Mata Kuliah Pengemb | P6 = Buku Kurikulum Prodi S1 Sistem Informasi ITEKES Bintang Pers",
TSI1108,Bahasa Indonesia,7/16,"Teknik pengembangan paragraf, integrasi kutipan, penyajian data","P1 = Kementerian Pendidikan dan Kebudayaan. (2016). Pedoman Umum  | P2 = Dalman, H. (2019). Keterampilan Menulis (Edisi Revisi). Raja | P3 = Keraf, G. (2010). Argumentasi dan Narasi. Gramedia Pustaka U | P4 = Chaer, A. (2015). Tata Bahasa Praktis Bahasa Indonesia. Rine | P5 = Widjono, H. S. (2018). Bahasa Indonesia: Mata Kuliah Pengemb | P6 = Buku Kurikulum Prodi S1 Sistem Informasi ITEKES Bintang Pers",
TSI1108,Bahasa Indonesia,8/16,Materi Minggu 1-7,"P1 = Kementerian Pendidikan dan Kebudayaan. (2016). Pedoman Umum  | P2 = Dalman, H. (2019). Keterampilan Menulis (Edisi Revisi). Raja | P3 = Keraf, G. (2010). Argumentasi dan Narasi. Gramedia Pustaka U | P4 = Chaer, A. (2015). Tata Bahasa Praktis Bahasa Indonesia. Rine | P5 = Widjono, H. S. (2018). Bahasa Indonesia: Mata Kuliah Pengemb | P6 = Buku Kurikulum Prodi S1 Sistem Informasi ITEKES Bintang Pers",
TSI1108,Bahasa Indonesia,9/16,"Kutipan langsung (≤40 kata, >40 kata), kutipan tidak langsung, penulisan daftar pustaka (buku, jurnal, website)","P1 = Kementerian Pendidikan dan Kebudayaan. (2016). Pedoman Umum  | P2 = Dalman, H. (2019). Keterampilan Menulis (Edisi Revisi). Raja | P3 = Keraf, G. (2010). Argumentasi dan Narasi. Gramedia Pustaka U | P4 = Chaer, A. (2015). Tata Bahasa Praktis Bahasa Indonesia. Rine | P5 = Widjono, H. S. (2018). Bahasa Indonesia: Mata Kuliah Pengemb | P6 = Buku Kurikulum Prodi S1 Sistem Informasi ITEKES Bintang Pers",
TSI1108,Bahasa Indonesia,10/16,"Struktur laporan: pendahuluan, metode, hasil, pembahasan, kesimpulan; bahasa laporan","P1 = Kementerian Pendidikan dan Kebudayaan. (2016). Pedoman Umum  | P2 = Dalman, H. (2019). Keterampilan Menulis (Edisi Revisi). Raja | P3 = Keraf, G. (2010). Argumentasi dan Narasi. Gramedia Pustaka U | P4 = Chaer, A. (2015). Tata Bahasa Praktis Bahasa Indonesia. Rine | P5 = Widjono, H. S. (2018). Bahasa Indonesia: Mata Kuliah Pengemb | P6 = Buku Kurikulum Prodi S1 Sistem Informasi ITEKES Bintang Pers",
TSI1108,Bahasa Indonesia,11/16,"Format memo, notulen rapat, email formal, etika komunikasi tertulis","P1 = Kementerian Pendidikan dan Kebudayaan. (2016). Pedoman Umum  | P2 = Dalman, H. (2019). Keterampilan Menulis (Edisi Revisi). Raja | P3 = Keraf, G. (2010). Argumentasi dan Narasi. Gramedia Pustaka U | P4 = Chaer, A. (2015). Tata Bahasa Praktis Bahasa Indonesia. Rine | P5 = Widjono, H. S. (2018). Bahasa Indonesia: Mata Kuliah Pengemb | P6 = Buku Kurikulum Prodi S1 Sistem Informasi ITEKES Bintang Pers",
TSI1108,Bahasa Indonesia,12/16,"Prinsip presentasi, desain slide, bahasa lisan yang baik, manajemen waktu","P1 = Kementerian Pendidikan dan Kebudayaan. (2016). Pedoman Umum  | P2 = Dalman, H. (2019). Keterampilan Menulis (Edisi Revisi). Raja | P3 = Keraf, G. (2010). Argumentasi dan Narasi. Gramedia Pustaka U | P4 = Chaer, A. (2015). Tata Bahasa Praktis Bahasa Indonesia. Rine | P5 = Widjono, H. S. (2018). Bahasa Indonesia: Mata Kuliah Pengemb | P6 = Buku Kurikulum Prodi S1 Sistem Informasi ITEKES Bintang Pers",
TSI1108,Bahasa Indonesia,13/16,"Latihan presentasi, intonasi, kontak mata, menjawab pertanyaan","P1 = Kementerian Pendidikan dan Kebudayaan. (2016). Pedoman Umum  | P2 = Dalman, H. (2019). Keterampilan Menulis (Edisi Revisi). Raja | P3 = Keraf, G. (2010). Argumentasi dan Narasi. Gramedia Pustaka U | P4 = Chaer, A. (2015). Tata Bahasa Praktis Bahasa Indonesia. Rine | P5 = Widjono, H. S. (2018). Bahasa Indonesia: Mata Kuliah Pengemb | P6 = Buku Kurikulum Prodi S1 Sistem Informasi ITEKES Bintang Pers",
TSI1108,Bahasa Indonesia,14/16,"Teknik editing, proofreading, cek plagiarisme, penggunaan tools penyunting","P1 = Kementerian Pendidikan dan Kebudayaan. (2016). Pedoman Umum  | P2 = Dalman, H. (2019). Keterampilan Menulis (Edisi Revisi). Raja | P3 = Keraf, G. (2010). Argumentasi dan Narasi. Gramedia Pustaka U | P4 = Chaer, A. (2015). Tata Bahasa Praktis Bahasa Indonesia. Rine | P5 = Widjono, H. S. (2018). Bahasa Indonesia: Mata Kuliah Pengemb | P6 = Buku Kurikulum Prodi S1 Sistem Informasi ITEKES Bintang Pers",
